STCODE,STNAME,DIST,DISTNAME,SOILTYPE
1,Andhra Pradesh,44,Srikakulam,ORTHIDS - 100%
1,Andhra Pradesh,45,Visakhapatnam,ORTHIDS - 50% ; SANDY ALFISOL - 50%
1,Andhra Pradesh,46,East Godavari,ORTHIDS - 65% ; SANDY ALFISOL - 35%
1,Andhra Pradesh,47,West Godavari,ORTHIDS - 50% ; SANDY ALFISOL - 50%
1,Andhra Pradesh,48,Krishna,ORTHIDS - 50% ; LOAMY ALFISOLS - 50%
1,Andhra Pradesh,49,Guntur,ORTHIDS - 40% ; VERTISOLS - 30% ; SANDY ALFISOL - 30%
1,Andhra Pradesh,50,Nellore,ORTHIDS - 60% ; SANDY ALFISOL - 40%
1,Andhra Pradesh,51,Kurnool,SANDY ALFISOL - 60% ; VERTIC SOILS - 40%
1,Andhra Pradesh,52,Ananthapur,SANDY ALFISOL - 100%
1,Andhra Pradesh,53,Cuddapah,SANDY ALFISOL - 100%
1,Andhra Pradesh,54,Chittoor,SANDY ALFISOL - 80%; ORTHIDS - 20%
1,Andhra Pradesh,55,Hyderabad,SANDY ALFISOL - 100%
1,Andhra Pradesh,56,Nizamabad,VERTIC SOILS - 85% ; VERTISOLS - 15%
1,Andhra Pradesh,57,Medak,SANDY ALFISOL - 75% ; VERTIC SOILS - 25%
1,Andhra Pradesh,58,Mahboobnagar,VERTISOLS - 40% ; VERTIC SOILS - 20% ; SANDY ALFISOL - 40%
1,Andhra Pradesh,59,Nalgonda,SANDY ALFISOL - 100%
1,Andhra Pradesh,60,Warangal,SANDY ALFISOL - 40% ; VERTIC SOILS - 35% ; ORTHIDS - 25%
1,Andhra Pradesh,61,Khammam,VERTISOLS - 60% ; SANDY ALFISOLS - 40%
1,Andhra Pradesh,62,Karimnagar,VERTIC SOLS - 70% ; VERTISOLS - 30%
1,Andhra Pradesh,63,Adilabad,VERTIC SOILS - 50% ; SANDY ALFISOL - 50%
